Dalvik/1.6.0(Linux; U; Android 4.2.2;CPH2099 Build/LR5KV5D2)[FBAN/FB4A;FBAV/110.0.0.24.63FBBV/4476684FBDM={density=3.0,width=522,height=1625}FBLC/ja_JPFBRV/9239175FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;P40 Pro Build/FK21DBYK)[FBAN/FB4A;FBAV/116.0.0.48.98FBBV/3878679FBDM={density=3.0,width=1076,height=1266}FBLC/ja_JPFBRV/3056390FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Xperia 10 Build/W3AB98EU)[FBAN/FB4A;FBAV/113.0.0.29.33FBBV/3353760FBDM={density=3.0,width=694,height=1302}FBLC/it_ITFBRV/6825004FBCR/TelecomFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;ASUS_Z007 Build/GVK6WE2R)[FBAN/FB4A;FBAV/100.0.0.56.7FBBV/3623672FBDM={density=3.0,width=433,height=1316}FBLC/pt_BRFBRV/6779457FBCR/AT&TFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;Moto G Stylus Build/OOWSH11U)[FBAN/FB4A;FBAV/98.0.0.66.91FBBV/6084400FBDM={density=3.0,width=495,height=712}FBLC/fr_FRFBRV/8923007FBCR/Boost MobileFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Moto G Stylus Build/QJYRH6AZ)[FBAN/FB4A;FBAV/117.0.0.52.24FBBV/2942591FBDM={density=3.0,width=562,height=1666}FBLC/zh_CNFBRV/5566468FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;SM-A127F Build/BKCCHW5Q)[FBAN/FB4A;FBAV/81.0.0.92.43FBBV/1884031FBDM={density=3.0,width=476,height=869}FBLC/fr_FRFBRV/628328FBCR/O2FBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;SM-A127F Build/DULAJFFA)[FBAN/FB4A;FBAV/99.0.0.74.49FBBV/9576805FBDM={density=3.0,width=915,height=929}FBLC/zh_TWFBRV/3661025FBCR/AT&TFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;ASUS_Z017 Build/VZ2WLWCE)[FBAN/FB4A;FBAV/98.0.0.20.72FBBV/8435991FBDM={density=3.0,width=1035,height=1843}FBLC/pt_BRFBRV/27786FBCR/Boost MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;CPH2099 Build/22VIMTZJ)[FBAN/FB4A;FBAV/103.0.0.33.61FBBV/3282712FBDM={density=3.0,width=690,height=1111}FBLC/ko_KRFBRV/34596FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;Pixel 5a Build/BDAE64PL)[FBAN/FB4A;FBAV/119.0.0.88.80FBBV/1667471FBDM={density=3.0,width=517,height=1817}FBLC/ja_JPFBRV/9587548FBCR/Boost MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 5aFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;CPH2147 Build/3R71PXOZ)[FBAN/FB4A;FBAV/116.0.0.21.79FBBV/3327038FBDM={density=3.0,width=415,height=1733}FBLC/fr_FRFBRV/1497595FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;SM-N975F Build/NTR8DI4B)[FBAN/FB4A;FBAV/89.0.0.75.8FBBV/307756FBDM={density=3.0,width=458,height=1726}FBLC/ja_JPFBRV/4866061FBCR/VodafoneFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;Pixel 4a Build/A55AH5A5)[FBAN/FB4A;FBAV/109.0.0.53.60FBBV/5236069FBDM={density=3.0,width=1066,height=1149}FBLC/pt_BRFBRV/9199705FBCR/O2FBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;LM-X410 Build/6WUMARTZ)[FBAN/FB4A;FBAV/91.0.0.21.20FBBV/7087263FBDM={density=3.0,width=993,height=786}FBLC/ja_JPFBRV/2982771FBCR/SprintFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;ASUS_Z012 Build/MO8ET8SF)[FBAN/FB4A;FBAV/119.0.0.72.60FBBV/6614731FBDM={density=3.0,width=836,height=1794}FBLC/zh_TWFBRV/1263207FBCR/VerizonFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;CPH2127 Build/828AI4BO)[FBAN/FB4A;FBAV/82.0.0.86.16FBBV/8496156FBDM={density=3.0,width=573,height=1853}FBLC/de_DEFBRV/2861722FBCR/Boost MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Moto G Power Build/UJXFVM33)[FBAN/FB4A;FBAV/110.0.0.4.38FBBV/7995335FBDM={density=3.0,width=866,height=1483}FBLC/ja_JPFBRV/5064648FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;V2007 Build/26HERW3B)[FBAN/FB4A;FBAV/86.0.0.16.67FBBV/6717674FBDM={density=3.0,width=992,height=1750}FBLC/zh_TWFBRV/5583204FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;ASUS_Z017 Build/GQ5MOFBB)[FBAN/FB4A;FBAV/102.0.0.44.24FBBV/2365365FBDM={density=3.0,width=451,height=994}FBLC/es_ESFBRV/2803109FBCR/TelecomFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;SM-A127F Build/WIKHI7MU)[FBAN/FB4A;FBAV/81.0.0.18.45FBBV/5795444FBDM={density=3.0,width=835,height=1481}FBLC/it_ITFBRV/3543589FBCR/Boost MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;P40 Pro Build/5HCZ1OYR)[FBAN/FB4A;FBAV/98.0.0.92.12FBBV/2819185FBDM={density=3.0,width=990,height=706}FBLC/es_ESFBRV/6256556FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;V2072 Build/Q815KBEY)[FBAN/FB4A;FBAV/119.0.0.79.9FBBV/1888643FBDM={density=3.0,width=732,height=715}FBLC/fr_FRFBRV/6380877FBCR/Boost MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;Moto G Power Build/L5P95SBS)[FBAN/FB4A;FBAV/84.0.0.22.21FBBV/3891257FBDM={density=3.0,width=1008,height=960}FBLC/fr_FRFBRV/1698549FBCR/SprintFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Mi 10T Pro Build/QI801SCV)[FBAN/FB4A;FBAV/104.0.0.53.22FBBV/521323FBDM={density=3.0,width=1000,height=940}FBLC/ja_JPFBRV/8760823FBCR/T-MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;LM-G820 Build/UQB01D41)[FBAN/FB4A;FBAV/107.0.0.12.78FBBV/7866751FBDM={density=3.0,width=601,height=1323}FBLC/es_ESFBRV/1291402FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;ASUS_Z012 Build/XQ0QNVAY)[FBAN/FB4A;FBAV/100.0.0.14.56FBBV/662920FBDM={density=3.0,width=892,height=1425}FBLC/ko_KRFBRV/4801959FBCR/T-MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;Xperia 10 Build/XHLATW8R)[FBAN/FB4A;FBAV/100.0.0.34.72FBBV/5069982FBDM={density=3.0,width=363,height=1173}FBLC/de_DEFBRV/8601943FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;V2072 Build/310UNYYA)[FBAN/FB4A;FBAV/102.0.0.32.88FBBV/4703154FBDM={density=3.0,width=953,height=1515}FBLC/en_USFBRV/47734FBCR/O2FBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Moto G Stylus Build/EKOJ9ZGP)[FBAN/FB4A;FBAV/100.0.0.24.92FBBV/8502210FBDM={density=3.0,width=495,height=1616}FBLC/es_ESFBRV/8330955FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G StylusFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;Xperia 1 II Build/AKS7BAXQ)[FBAN/FB4A;FBAV/82.0.0.26.95FBBV/1744241FBDM={density=3.0,width=827,height=1549}FBLC/ko_KRFBRV/6706428FBCR/T-MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;SM-G973F Build/B8B257SU)[FBAN/FB4A;FBAV/85.0.0.47.68FBBV/4525841FBDM={density=3.0,width=513,height=779}FBLC/it_ITFBRV/8199804FBCR/AT&TFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;Xperia 1 II Build/CI2C4VF7)[FBAN/FB4A;FBAV/97.0.0.54.52FBBV/4781345FBDM={density=3.0,width=608,height=1365}FBLC/pt_BRFBRV/3048753FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;CPH2171 Build/42L1UIPS)[FBAN/FB4A;FBAV/112.0.0.28.57FBBV/176996FBDM={density=3.0,width=635,height=1909}FBLC/en_USFBRV/1984636FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Moto G Play Build/JWC6K2YM)[FBAN/FB4A;FBAV/99.0.0.33.75FBBV/1155500FBDM={density=3.0,width=964,height=1400}FBLC/es_ESFBRV/7800761FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PlayFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;CPH2127 Build/XBYFKG58)[FBAN/FB4A;FBAV/116.0.0.41.9FBBV/5973578FBDM={density=3.0,width=685,height=1063}FBLC/ja_JPFBRV/6676125FBCR/TelecomFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;Moto G Fast Build/OUMKG7RI)[FBAN/FB4A;FBAV/102.0.0.64.71FBBV/6267216FBDM={density=3.0,width=840,height=841}FBLC/zh_CNFBRV/3408449FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;LM-K500 Build/79JUIPBR)[FBAN/FB4A;FBAV/118.0.0.68.86FBBV/9999951FBDM={density=3.0,width=839,height=1184}FBLC/ko_KRFBRV/9524016FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-K500FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;Pixel 6 Pro Build/SS8YVYCN)[FBAN/FB4A;FBAV/88.0.0.55.2FBBV/9038219FBDM={density=3.0,width=718,height=1230}FBLC/de_DEFBRV/6613086FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6 ProFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;Mi 9T Build/MWID6FKB)[FBAN/FB4A;FBAV/84.0.0.1.41FBBV/3247565FBDM={density=3.0,width=697,height=1839}FBLC/ko_KRFBRV/7366485FBCR/T-MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Mi 10T Pro Build/1HQRX7Y0)[FBAN/FB4A;FBAV/90.0.0.2.52FBBV/4841901FBDM={density=3.0,width=753,height=1366}FBLC/ja_JPFBRV/8377177FBCR/AT&TFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 10T ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;LM-K500 Build/N1NRRSE2)[FBAN/FB4A;FBAV/82.0.0.20.30FBBV/2509863FBDM={density=3.0,width=466,height=1207}FBLC/fr_FRFBRV/484553FBCR/AT&TFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-K500FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;V2010 Build/H5Q7AALO)[FBAN/FB4A;FBAV/108.0.0.36.9FBBV/2725265FBDM={density=3.0,width=957,height=1252}FBLC/de_DEFBRV/4888988FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;SM-N975F Build/TY5D7N29)[FBAN/FB4A;FBAV/89.0.0.30.72FBBV/151600FBDM={density=3.0,width=768,height=1547}FBLC/zh_TWFBRV/1692581FBCR/TelecomFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;CPH2127 Build/Q8BRW4KD)[FBAN/FB4A;FBAV/116.0.0.7.42FBBV/9820046FBDM={density=3.0,width=464,height=789}FBLC/en_USFBRV/4499103FBCR/TelecomFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;LM-X410 Build/JENS0OWO)[FBAN/FB4A;FBAV/89.0.0.70.49FBBV/5253550FBDM={density=3.0,width=1003,height=1582}FBLC/ja_JPFBRV/6254467FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 6.0;Pixel 6 Build/911X4SVC)[FBAN/FB4A;FBAV/116.0.0.91.16FBBV/2911997FBDM={density=3.0,width=396,height=1341}FBLC/es_ESFBRV/4430805FBCR/TelecomFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;Xperia 1 II Build/KNG6Q4S2)[FBAN/FB4A;FBAV/107.0.0.91.63FBBV/7685297FBDM={density=3.0,width=671,height=1773}FBLC/fr_FRFBRV/3121406FBCR/VodafoneFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;Pixel 6 Build/Q5NIDG9M)[FBAN/FB4A;FBAV/103.0.0.58.97FBBV/1705472FBDM={density=3.0,width=621,height=1583}FBLC/zh_CNFBRV/4126869FBCR/VerizonFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 6FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;ASUS_Z010 Build/7S2VD3U5)[FBAN/FB4A;FBAV/116.0.0.22.8FBBV/816481FBDM={density=3.0,width=992,height=1908}FBLC/es_ESFBRV/5946910FBCR/AT&TFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
